sep_num_filters,conv2d_num_filters,dropout_rate,num_dense_layers,activation,num_residual_blocks,pooling,learning_rate,initial_strides,kernel_size,dense_use_bn,training_epoch_accuracy,validation_epoch_accuracy,training_epoch_loss,validation_epoch_loss,validation_evaluation_accuracy_vs_iterations,validation_evaluation_loss_vs_iterations
640,64,0.1,1,relu,3,flatten,0.001,2,5,1,0.936533332,0.777999997,0.169752702,0.863111258,0.777999997,0.863111258
512,32,0,1,selu,6,flatten,1.00E-05,2,3,0,0.498213321,0.488319993,1.430896401,1.442643881,0.488319993,1.442643881
384,64,0.1,1,selu,3,avg,0.001,2,3,1,0.624480009,0.621360004,1.034834504,1.080032229,0.621360004,1.080032229
128,32,0.1,3,relu,5,flatten,0.0001,2,3,0,0.100826666,0.097520001,2.302585125,2.302726984,0.097520001,2.302726984
640,64,0.5,2,relu,8,max,1.00E-05,2,3,1,0.236959994,0.352880001,2.084774494,1.864818931,0.352880001,1.864818931
128,64,0.2,2,relu,3,flatten,1.00E-05,2,5,0,0.268213332,0.313360006,1.977285624,1.902070642,0.313360006,1.902070642
512,64,0.3,3,selu,3,flatten,0.001,2,5,1,0.101333335,0.09984,2.304300785,2.308797598,0.09984,2.308797598
384,32,0,3,selu,5,max,1.00E-05,2,3,0,0.427413344,0.432080001,1.610199451,1.597453713,0.432080001,1.597453713
512,32,0.5,2,selu,2,avg,1.00E-05,2,3,1,0.12138667,0.153200001,2.379021645,2.305895567,0.153200001,2.305895567
256,128,0.4,3,relu,4,flatten,1.00E-05,2,3,1,0.186373338,0.328399986,2.283225298,2.002804279,0.328399986,2.002804279
256,64,0.3,1,relu,4,flatten,1.00E-05,2,5,1,0.664613307,0.516240001,1.140190363,1.494645953,0.516240001,1.494645953
768,64,0.4,1,relu,8,max,1.00E-05,2,5,0,0.256000012,0.275680006,1.899627686,2.074269295,0.275680006,2.074269295
384,64,0,2,selu,2,max,1.00E-05,2,5,1,0.415893346,0.416079998,1.63784194,1.625813007,0.416079998,1.625813007
640,64,0.4,3,relu,5,max,1.00E-05,2,5,0,0.142533332,0.181679994,2.228370667,2.215425968,0.181679994,2.215425968
768,64,0.1,2,selu,7,avg,0.001,2,5,0,0.487120003,0.538720012,1.325675249,1.222808599,0.538720012,1.222808599
256,128,0.2,3,relu,3,flatten,0.001,2,3,0,0.099093333,0.098559998,2.302788496,2.302791357,0.098559998,2.302791357
256,128,0,2,selu,7,max,1.00E-05,2,5,1,0.428880006,0.433840007,1.583448172,1.572357178,0.433840007,1.572357178
384,128,0.2,3,relu,5,flatten,0.001,2,3,1,0.752960026,0.684080005,0.64407438,1.034238935,0.684080005,1.034238935
640,128,0.4,1,selu,8,flatten,0.0001,2,5,1,0.494506657,0.605679989,1.321483374,1.204311132,0.605679989,1.204311132
128,128,0.2,3,relu,4,avg,0.001,2,5,0,0.100213334,0.098559998,2.302751303,2.302842855,0.098559998,2.302842855
768,32,0.1,2,relu,2,avg,1.00E-05,2,3,0,0.353946656,0.393279999,1.717405081,1.636588335,0.393279999,1.636588335
256,64,0.2,3,relu,5,max,0.001,2,3,1,0.721066654,0.720719993,0.740277171,0.79829365,0.720719993,0.79829365
768,32,0,2,selu,3,max,1.00E-05,2,5,1,0.453226656,0.46360001,1.578933358,1.55253458,0.46360001,1.55253458
640,32,0.1,1,selu,2,flatten,0.0001,2,3,1,0.701973319,0.636479974,0.840198576,1.133841038,0.636479974,1.133841038
512,64,0.2,2,relu,5,avg,1.00E-05,2,5,1,0.506160021,0.397920012,1.406427264,1.672552824,0.397920012,1.672552824
