conv3_depth,optimizer,conv4_depth,version,pooling,learning_rate,training_epoch_accuracy,validation_epoch_accuracy,training_epoch_loss,validation_epoch_loss,validation_evaluation_accuracy_vs_iterations,validation_evaluation_loss_vs_iterations
4,adam,6,next,max,0.01,0.105288886,0.107466668,2.312348843,2.465298414,0.107466668,2.465298414
8,adam,6,v1,max,0.001,0.952044427,0.805800021,0.210277155,0.772938907,0.805800021,0.772938907
8,sgd,36,next,max,0.1,0.871222198,0.836333334,0.483372003,13.00421524,0.836333334,13.00421524
8,adam,36,v1,avg,0.1,0.378866673,0.101199999,1.664988875,20.33759308,0.101199999,20.33759308
4,adam,6,v1,max,0.1,0.444088876,0.39746666,1.395504475,42.44478607,0.39746666,42.44478607
8,rmsprop,23,v1,avg,0.01,0.979399979,0.973399997,0.079982951,0.118921235,0.973399997,0.118921235
8,sgd,23,next,max,0.01,0.93326664,0.928466678,0.235979855,0.228264228,0.928466678,0.228264228
8,rmsprop,23,v2,max,0.1,0.969288886,0.970399976,0.135957375,0.179913983,0.970399976,0.179913983
8,rmsprop,6,v1,avg,0.001,0.988444448,0.989333332,0.045121841,0.039821517,0.989333332,0.039821517
4,rmsprop,6,v1,avg,0.001,0.987600029,0.939800024,0.046068396,2.510281324,0.939800024,2.510281324
4,sgd,6,next,avg,0.01,0.981911123,0.973266661,0.059594277,0.084170677,0.973266661,0.084170677
4,rmsprop,36,next,avg,0.1,0.945933342,0.922399998,0.361728132,4.920632839,0.922399998,4.920632839
4,rmsprop,6,v2,max,0.1,0.968822241,0.978333354,0.140000284,0.116574697,0.978333354,0.116574697
4,sgd,23,v1,avg,0.01,0.978488863,0.969399989,0.080388382,0.099709325,0.969399989,0.099709325
4,rmsprop,36,v1,avg,0.1,0.936244428,0.73786664,0.398494929,1.909566998,0.73786664,1.909566998
4,sgd,6,v2,avg,0.1,0.991133332,0.986266673,0.030076193,0.048479512,0.986266673,0.048479512
8,adam,23,v2,avg,0.1,0.964755535,0.957066655,0.143197864,0.177154303,0.957066655,0.177154303
4,sgd,6,v1,avg,0.001,0.977333307,0.974933326,0.071093135,0.077218659,0.974933326,0.077218659
8,rmsprop,6,v2,avg,0.1,0.968599975,0.950333357,0.147760823,0.282570481,0.950333357,0.282570481
8,sgd,6,v2,max,0.01,0.993733346,0.987533331,0.020997282,0.040760282,0.987533331,0.040760282
8,sgd,6,next,max,0.1,0.928022206,0.807066679,0.229990587,0.659274995,0.807066679,0.659274995
8,rmsprop,6,v2,avg,0.01,0.98026669,0.983266652,0.072664596,0.061865091,0.983266652,0.061865091
4,sgd,23,v2,max,0.1,0.981644452,0.974533319,0.061003037,0.092220269,0.974533319,0.092220269
8,adam,6,next,avg,0.1,0.686577797,0.345333338,0.932854593,4.419177532,0.345333338,4.419177532
8,sgd,23,v2,avg,0.1,0.987377763,0.978933334,0.04279805,0.074587397,0.978933334,0.074587397
